rn_w_tracker_outstanding,rn_r_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,share_tracker_ostd,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,TotalBandWidth,FinishCycle,eject_queues_len,inject_queues_len,sdma-R-DDR_thoughput,sdma-W-l2m_thoughput,gdam-R-L2M_thoughput,sdma-R-DDR_finish_cycle,sdma-W-l2m_finish_cycle,gdam-R-L2M_finish_cycle,sdma-R-DDR_avg_latency,sdma-W-l2m_avg_latency,gdam-R-L2M_avg_latency,cir_h_total,cir_v_total,Topo
48,20,45.90423868,3719.372482,13039,1000,1000,57.17738154,3012.460464,6125,103.0816202,45720,8,5,113.7731262,93.44698213,114.7299912,18345,22549,18192,492.0091991,136.9262544,186.9931314,36887,525,4x5
48,20,45.55918421,3622.664978,13298,1000,1000,56.79029463,3228.321976,6247,102.3494788,46066,8,5,113.0031402,92.72325633,114.0778312,18470,22725,18296,508.7194898,136.2420119,177.48706,36515,401,5x4
92,16,59.83998174,599.1358032,6844,1000,1000,38.72284796,7220.435425,14797,98.5628297,54170,8,5,309.7141591,478.5559929,0,27085,17529,0,401.391571,164.2056274,0,84786,405,9x4
16,20,59.39258001,1536.433472,5742,1000,1000,49.12973809,4224.962326,9061,108.5223181,42698,8,5,392.9274439,474.9792197,0,21349,17661,0,393.8672485,140.3764038,0,1,448,4x9
52,20,45.91026839,3636.092026,12979,1000,1000,56.5148216,3205.641388,6533,102.42509,45714,8,5,112.4551724,92.26043172,113.7855313,18560,22839,18343,508.6425856,137.2093306,180.1627622,36447,610,4x5
52,20,45.48013991,3612.813614,13255,1000,1000,56.09758185,3375.665573,6514,101.5777218,46146,8,5,111.6252006,91.32475187,114.0653623,18698,23073,18298,524.5396786,136.3895031,166.7640132,36783,490,5x4
20,20,58.37746353,1573.507248,6068,1000,1000,49.15737659,4223.298615,9049,107.5348401,42674,8,5,393.1484276,466.8637578,0,21337,17968,0,393.857666,140.1865845,0,11,426,4x9
96,16,59.64256868,582.8685455,6718,1000,1000,38.64720625,7230.339233,14850,98.28977493,54276,8,5,309.1092932,476.9777677,0,27138,17587,0,401.5859375,163.6929626,0,82342,329,9x4
56,20,45.7819771,3682.152435,13113,1000,1000,56.70430456,3120.162643,6258,102.4862817,45842,8,5,112.83209,92.71509658,113.9221658,18498,22727,18321,489.6183,136.9008626,197.2296087,35933,764,4x5
56,20,45.34247038,3683.079758,13389,1000,1000,56.73498539,3273.061005,6297,102.0774558,46286,8,5,113.0704805,91.59469681,113.5873741,18459,23005,18375,490.3303079,136.4835378,198.7738256,36976,491,5x4
60,20,45.9323909,3623.906372,12935,1000,1000,56.08258009,3173.109634,6515,102.014971,45692,8,5,111.595359,92.42635319,112.9236596,18703,22798,18483,517.4642463,137.6217957,172.0905188,36841,495,4x5
24,20,58.77009304,1539.378052,6018,1000,1000,49.22429819,4224.856201,9032,107.9943912,42616,8,5,393.6834992,470.0026894,0,21308,17848,0,393.8971558,140.4698486,0,15,395,4x9
