network_frequency,rn_r_tracker_outstanding,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_w_tracker_outstanding,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,Topo
2,40,32.9865358,7432.956436,15887,44,55.09431545,688.804083,5074,31948,88.08085125,5x4
2,68,32.96994089,7441.127823,15936,44,55.81226344,684.3342479,5041,31964,88.78220432,5x4
2,52,32.9450798,7753.106415,15956,48,55.27724522,678.0721571,5241,31988,88.22232502,5x4
2,52,32.85836049,7356.011154,16003,44,54.67118644,735.0321956,5405,32072,87.52954693,5x4
2,56,32.80695826,7425.097031,16017,44,53.52860032,731.6602183,5569,32122,86.33555858,5x4
2,24,32.79669711,7712.051834,16030,48,54.79016933,729.4073661,5393,32132,87.58686644,5x4
2,72,32.72198471,7543.787918,15600,48,55.44649764,752.2544178,5372,32205,88.16848235,5x4
2,32,32.69851565,7731.737915,16228,48,54.46636061,703.1378193,5576,32228,87.16487627,5x4
2,64,32.67813513,7751.501068,16126,48,55.34838329,733.6746342,5348,32248,88.02651842,5x4
2,48,32.65269517,7419.827728,16219,44,55.02676191,728.0069754,5266,32273,87.67945709,5x4
2,28,32.59787981,7727.861282,16201,48,55.34541555,717.4273624,5423,32327,87.94329536,5x4
2,36,32.57357647,7402.330734,16256,44,54.42328377,746.6287047,5552,32351,86.99686024,5x4
2,68,32.44958841,7680.551743,16463,48,55.66177739,698.156746,5242,32474,88.11136581,5x4
2,36,32.37244914,7753.567963,16393,48,54.16908948,750.0301959,5816,32551,86.54153861,5x4
2,56,32.35746467,7758.14888,16487,48,55.05904945,714.4860181,5346,32566,87.41651411,5x4
2,60,32.3395016,7699.983749,15830,48,55.36619643,750.3870908,5406,32584,87.70569803,5x4
2,36,32.34149651,7776.277969,16416,52,54.12080537,796.0346292,5861,32589,86.46230188,5x4
2,64,32.2668554,7934.34552,16575,52,55.25653105,709.7088139,5201,32657,87.52338645,5x4
2,44,32.25097653,7681.011551,16594,48,54.6017774,726.9718502,5403,32673,86.85275393,5x4
2,32,32.24205153,7830.839935,16578,52,54.82509162,737.0850384,5721,32682,87.06714316,5x4
2,56,32.24106017,7814.172745,16557,52,54.63067641,767.5925719,5586,32683,86.87173658,5x4
2,28,32.23114991,7874.929016,16551,52,54.88047639,737.6618304,5703,32693,87.1116263,5x4
2,60,32.20244457,7763.653473,16483,52,53.57861407,786.4547991,5977,32722,85.78105863,5x4
2,40,32.18366533,7942.150421,16583,56,55.2358324,770.8690941,5680,32741,87.41949772,5x4
2,48,32.08911467,7944.283676,16736,52,55.3751073,736.0518043,5430,32837,87.46422196,5x4
2,44,32.03813132,7911.808868,16786,52,54.7552915,754.1045387,5544,32889,86.79342282,5x4
2,52,32.01172304,7867.097504,16834,52,54.35450237,743.3696522,5747,32916,86.36622541,5x4
2,68,31.93275878,7819.710281,16827,52,53.86942226,772.8561508,6073,32997,85.80218104,5x4
2,68,31.9288694,8006.095673,16852,56,53.64265669,781.7676866,5945,33001,85.57152609,5x4
2,72,31.89002768,8130.473648,16806,60,53.59530609,820.5067119,6053,33041,85.48533377,5x4
2,60,31.87742445,7916.189209,16884,56,54.31160221,798.757766,5938,33054,86.18902666,5x4
2,44,31.79622779,7973.547409,16990,56,53.88910932,792.0627015,6038,33138,85.68533711,5x4
2,72,31.73464076,7874.25354,17070,52,53.98776087,756.5732732,5954,33202,85.72240163,5x4
2,24,31.72791915,7867.970535,17125,52,54.62200349,738.6814236,5436,33209,86.34992264,5x4
